_id,SiteId,Site_Name,Site_Brand,Sites_Address_Line_1,Site_Suburb,Site_State,Site_Post_Code,Site_Latitude,Site_Longitude,Fuel_Type,Price,TransactionDateutc
1,61290151,Surat 24/7 Fuel,Independent,61 Burrowes Street,SURAT,QLD,4417,-27.1516870000,149.0677420000,PULP 98 RON,1999,2023-02-13T06:26:00
2,61290151,Surat 24/7 Fuel,Independent,61 Burrowes Street,SURAT,QLD,4417,-27.1516870000,149.0677420000,Unleaded,1799,2023-02-13T06:26:00
3,61291313,Lowes Mungindi Opt,BP,126 Barwon Street,Mungindi,QLD,4497,-28.9734670000,148.9838290000,Diesel,2040,2023-02-06T21:35:00
4,61291313,Lowes Mungindi Opt,BP,126 Barwon Street,Mungindi,QLD,4497,-28.9734670000,148.9838290000,Diesel,1990,2023-02-22T21:38:00
5,61291313,Lowes Mungindi Opt,BP,126 Barwon Street,Mungindi,QLD,4497,-28.9734670000,148.9838290000,Unleaded,1890,2023-02-22T21:38:00
6,61401007,7-Eleven Coomera,7 Eleven,Pacific Highway,Coomera,QLD,4209,-27.8685910000,153.3142060000,e10,1759,2023-01-31T18:22:00
7,61401007,7-Eleven Coomera,7 Eleven,Pacific Highway,Coomera,QLD,4209,-27.8685910000,153.3142060000,e10,2079,2023-02-16T01:08:00
8,61401007,7-Eleven Coomera,7 Eleven,Pacific Highway,Coomera,QLD,4209,-27.8685910000,153.3142060000,LPG,1099,2023-01-31T18:22:00
9,61401007,7-Eleven Coomera,7 Eleven,Pacific Highway,Coomera,QLD,4209,-27.8685910000,153.3142060000,Premium Diesel,2089,2023-01-31T18:22:00
10,61401007,7-Eleven Coomera,7 Eleven,Pacific Highway,Coomera,QLD,4209,-27.8685910000,153.3142060000,Premium Diesel,2069,2023-02-01T01:41:00
11,61401007,7-Eleven Coomera,7 Eleven,Pacific Highway,Coomera,QLD,4209,-27.8685910000,153.3142060000,Premium Diesel,2039,2023-02-07T20:04:00
12,61401007,7-Eleven Coomera,7 Eleven,Pacific Highway,Coomera,QLD,4209,-27.8685910000,153.3142060000,Premium Diesel,2019,2023-02-08T05:55:00
13,61401007,7-Eleven Coomera,7 Eleven,Pacific Highway,Coomera,QLD,4209,-27.8685910000,153.3142060000,Premium Diesel,1989,2023-02-24T00:59:00
14,61401007,7-Eleven Coomera,7 Eleven,Pacific Highway,Coomera,QLD,4209,-27.8685910000,153.3142060000,PULP 98 RON,1979,2023-01-31T18:22:00
