"INTERVAL_END","'1098->1056'","'1058->1059'","'1057->1056'","'1017->1007'","'1115->1015'","'1015->1115'","'1103->1061'","'1135->1231'","'1260->1261'","'1072->1061'","'1070->1069'","'1122->1123'","'1124->1133'","'1137->1136'","'1127->1089'","'1085->1086'","'1088->1089'","'1172->1171'","'1165->1532'","'1544->1539'","'1539->1537'","'1075->1076'","'1078->1077'","'1076->1075'","'1182->1515'","'1090->1573'","'1573->1538'","'1095->1096'","'1006->1081'","'1080->1130'","'1156->1170'","'1059->1060'","'1058->1057'","'1160->1154'","'1091->1092'","'1126->1120'","'1124->1123'","'1140->1138'","'1089->1127'","'1127->1229'","'1059->1171'","'1184->1173'","'1173->1174'","'1543->1529'","'1532->1527'","'1534->1544'","'1076->1077'","'1062->1107'","'1573->1090'","'1067->1096'","'1095->1133'","'1172->1170'","'1097->1098'","'1059->1058'","'1056->1098'","'1007->1115'","'1162->1154'","'1239->1231'","'1129->1260'","'1132->1092'","'1092->1091'","'1069->1070'","'1070->1097'","'1099->1061'","'1061->1072'","'1140->1271'","'1088->1087'","'1087->1088'","'1270->1071'","'1158->1546'","'1539->1544'","'1063->1064'","'1538->1573'","'1096->1095'","'1170->1156'","'1081->1006'","'1084->1083'","'1005->1002'","'1002->1006'","'1055->1097'","'1057->1058'","'1103->1162'","'1154->1160'","'1161->1160'","'1189->1178'","'1134->1142'","'1261->1129'","'1131->1129'","'1097->1070'","'1128->1126'","'1084->1090'","'1090->1084'","'1527->1533'","'1157->1528'","'1544->1534'","'1063->1062'","'1156->1068'","'1006->1002'","'1005->1083'","'1081->1080'","'1170->1172'","'1060->1025'","'1134->1178'","'1125->1131'","'1094->1093'","'1132->1093'","'1094->1164'","'1099->1055'","'1123->1124'","'1229->1127'","'1087->1086'","'1084->1085'","'1171->1172'","'1530->1523'","'1533->1523'","'1523->1530'","'1546->1158'","'1064->1075'","'1064->1063'","'1181->1515'","'1130->1080'","'1056->1057'","'1060->1059'","'1097->1055'","'1015->1025'","'1061->1103'","'1142->1134'","'1178->1189'","'1231->1239'","'1131->1125'","'1093->1132'","'1069->1068'","'1121->1122'","'1133->1124'","'1123->1122'","'1120->1126'","'1126->1128'","'1171->1059'","'1529->1530'","'1532->1165'","'1075->1064'","'1515->1181'","'1174->1181'","'1133->1095'","'1096->1067'","'1067->1068'","'1068->1156'","'1025->1060'","'1098->1097'","'1025->1015'","'1115->1007'","'1007->1017'","'1160->1161'","'1154->1162'","'1162->1103'","'1125->1142'","'1189->1135'","'1135->1189'","'1074->1072'","'1061->1099'","'1137->1128'","'1120->1121'","'1121->1120'","'1128->1137'","'1271->1136'","'1271->1140'","'1089->1088'","'1086->1085'","'1086->1087'","'1155->1071'","'1082->1006'","'1082->1270'","'1174->1173'","'1533->1527'","'1527->1532'","'1529->1543'","'1543->1546'","'1528->1534'","'1537->1539'","'1181->1174'","'1515->1182'","'1068->1067'","'1002->1005'","'1083->1005'","'1231->1135'","'1178->1134'","'1142->1125'","'1129->1131'","'1164->1094'","'1092->1132'","'1093->1094'","'1068->1069'","'1055->1099'","'1072->1074'","'1136->1137'","'1122->1121'","'1138->1140'","'1136->1271'","'1085->1084'","'1071->1270'","'1270->1082'","'1006->1082'","'1071->1155'","'1172->1184'","'1173->1184'","'1184->1172'","'1546->1543'","'1523->1180'","'1180->1533'","'1530->1529'","'1534->1528'","'1528->1157'","'1107->1062'","'1062->1063'","'1077->1078'","'1077->1076'","'1080->1081'","'1083->1084'"
01/JUL/23 12:00:00.000000000 AM,0,0,0,0,0,0,0,19.67,351.7,76,51.67,0,0,63.85,0,0,0,0,185,142,0,61,89.25,0,102.67,0,0,0,63.33,30.75,0,0,0,0,591,0,0,46.4,0,0,0,0,0,0,115,0,59.86,0,0,0,226.5,0,0,0,0,0,78.67,106.42,0,88.17,0,0,0,0,0,0,0,0,0,0,0,78.67,0,0,88.33,102.75,231,99.33,65.4,0,0,0,0,0,96.43,0,0,0,0,54.33,0,0,0,0,40,0,0,61.67,100.5,144.67,0,0,0,0,99.75,0,0,32,0,0,83,81.33,0,0,0,0,0,110.4,81.8,0,66,0,0,0,0,0,0,102.57,102.13,0,28.71,0,0,83.14,0,0,49,0,0,0,80.5,0,0,0,0,130.6,0,0,0,0,0,0,0,91,0,0,54.38,54.4,0,0,40.25,0,0,43.5,68,68.33,0,0,61.44,0,0,97.38,0,0,0,0,105.67,0,0,0,0,0,102.67,602.5,28.2,0,0,0,0,0,102.2,0,0,0,0,0,0,57.3,73.43,0,111.8,90.8,0,0,0,0,0,0,0,0,0,0,0,0,75.5,64.33,171.2,150.33
01/JUL/23 12:15:00.000000000 AM,0,0,0,0,0,0,0,0,351.15,77,0,0,87,59.53,0,1442.33,0,0,0,129.33,0,58.67,84.67,0,113,0,0,0,0,35.45,87.75,0,0,0,97.25,0,0,47,0,0,0,0,0,0,0,34.25,55.25,0,0,0,217.67,145,0,0,0,0,73.67,111,0,72.2,0,0,0,0,0,0,0,0,0,0,0,70.67,0,0,101.67,91.5,142.33,114,62,0,0,0,0,0,106.2,0,0,0,0,57.13,0,0,0,0,48.33,0,209.33,46.14,106.45,156.67,0,0,0,0,0,24,0,31.67,0,0,62,148.83,0,0,0,0,0,95,83.4,0,63,0,0,0,0,0,0,103.38,104,0,0,0,0,73.11,0,0,51.35,0,0,202.8,0,93.25,0,207.67,0,134.5,188.33,0,0,0,0,0,0,85.75,0,0,51.5,49,0,0,47.67,0,0,39.6,66.67,68,0,0,68.38,0,66.67,115.33,0,0,0,0,0,0,0,0,0,133.25,102.86,103.38,22.25,0,0,0,0,94.25,105.75,0,0,0,63.67,0,0,55.13,80.88,0,94.5,91.17,0,0,0,307.8,87.33,13,84.25,0,0,0,0,0,73.17,70.8,164,120.77
01/JUL/23 12:30:00.000000000 AM,0,0,0,0,0,0,0,22.2,346.1,71.18,0,0,81.75,60.6,0,0,0,0,181.25,0,0,0,95.67,0,0,0,0,145.33,0,36,0,0,0,0,104,0,0,47,0,234.33,0,0,0,0,0,0,0,0,0,171,0,138,0,0,0,0,80.14,102.38,0,0,0,0,0,0,94,0,0,130,0,0,0,87.6,0,167,0,0,139.83,110.57,44.33,0,0,0,0,0,97.75,0,0,0,0,56.6,0,0,0,0,0,0,0,38.33,93,162.2,0,0,0,0,94,24.8,397.25,0,0,0,80.91,88,0,0,0,0,0,0,94.67,0,72.17,0,0,0,0,0,0,107.81,100.5,0,0,0,0,82.83,0,0,57.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.5,0,0,60.1,52.5,0,0,42.67,0,0,41.82,61.33,71,0,0,61.14,0,71.33,0,0,0,0,0,0,0,0,0,0,117.67,113.5,103.2,24.43,0,0,0,0,78,97,0,0,81,0,0,45,54.43,91.83,0,0,0,0,121.33,0,0,0,20.33,0,0,0,0,0,0,75,0,0,124.67
01/JUL/23 12:45:00.000000000 AM,0,0,0,0,0,0,0,20,343.33,69,0,0,87.09,59.14,0,328.75,0,0,0,0,102,53,92.25,0,0,0,0,0,0,0,0,0,0,0,123.33,0,0,47,0,0,0,0,0,0,0,0,56.43,0,0,0,0,145,0,0,0,0,73.67,106.5,0,0,0,89.33,0,0,107.5,63,0,0,0,0,0,77.67,0,0,96,0,128.25,0,0,0,0,0,0,0,102.43,0,0,0,0,54.29,0,0,0,0,44,0,0,47.6,101.14,0,0,0,0,0,0,42.67,0,0,0,0,68.25,95.21,0,0,0,0,0,98.14,411.67,0,0,0,0,0,0,0,0,103.5,97.5,0,0,0,0,77.55,0,0,51.63,0,0,0,0,0,0,0,0,0,247.67,0,0,0,0,0,0,0,0,0,55.14,47,117.33,0,39.14,0,0,41.2,0,0,0,0,61.29,0,0,0,0,0,0,0,0,0,0,0,0,0,111.88,112.33,23.8,0,0,0,0,0,107.4,0,0,0,0,0,47.5,60,91.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.5,0,0,132.14
01/JUL/23 01:00:00.000000000 AM,0,0,0,0,0,0,0,23.5,352.14,65.2,62,0,0,63.45,0,0,0,0,0,0,0,0,77.33,0,0,0,0,0,0,0,90.5,0,0,0,107.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.75,0,0,0,0,70.33,104,0,69.33,0,0,0,0,0,0,0,133.25,0,0,0,0,0,0,89,77,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,39.2,0,0,53.33,109,0,135.4,0,0,0,0,0,0,27.2,0,0,99.36,120.75,0,0,0,0,0,0,0,0,58.29,0,0,0,0,0,0,99.8,103.33,0,0,0,0,77.2,0,0,55.33,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,55.57,0,94.25,148,43.5,0,0,44.11,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,23,0,0,0,0,61.25,68.33,0,0,0,0,0,0,206.33,96.33,0,0,0,0,0,0,0,101,55,164.17,153
01/JUL/23 01:15:00.000000000 AM,0,0,0,0,0,0,0,23.67,0,73.33,55,0,81.67,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.25,0,0,50,0,0,0,0,0,0,0,22.75,0,0,0,172.5,242.25,0,0,0,0,0,75.4,101.38,0,81.33,122.33,0,0,0,71.33,0,0,0,0,0,0,0,0,166,85,91,150.67,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,46,0,0,217.5,99.75,0,158,0,0,0,92.67,20.5,0,0,0,0,73.8,110.63,0,0,0,0,0,0,0,0,64.67,0,0,0,0,0,0,105.08,312.5,0,0,0,0,83.33,0,0,50.58,0,0,0,74.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.71,48.29,0,0,0,0,0,40.92,0,70.25,0,444,73.5,0,0,0,0,0,0,0,0,0,0,0,0,113.75,0,0,27.83,0,0,0,0,83.75,106.67,0,0,0,0,0,0,64,147,0,0,0,0,750,0,0,0,21,101.67,0,0,0,0,0,109.33,0,0,168
01/JUL/23 01:30:00.000000000 AM,0,0,0,0,0,0,0,0,358.43,71.6,64.6,0,87.2,62.5,0,0,0,0,180,0,0,0,80,0,0,0,0,0,59.67,47,0,0,0,0,0,0,0,47,0,0,0,0,0,0,123.67,0,0,0,0,0,0,0,0,0,0,0,238.75,108.75,0,86.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,118,108.25,55,0,0,0,0,0,105,0,0,0,0,0,0,0,112.75,0,0,0,0,40.67,90.46,149.2,0,0,0,0,0,0,0,0,0,0,70,118.5,0,0,77.5,0,0,0,0,0,97.2,0,0,0,0,0,0,103.6,0,0,0,0,0,78.67,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,40.8,0,64.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.63,109.8,30.67,0,0,0,0,0,0,0,15.67,0,0,0,42,45.25,0,0,0,0,0,359.5,0,0,0,0,101,0,0,0,0,0,0,0,149.71,129.5
01/JUL/23 01:45:00.000000000 AM,0,0,0,0,0,0,0,23.25,342.8,73,0,0,0,61.5,0,0,0,0,0,0,0,0,0,143.75,0,0,0,0,0,34.4,0,0,0,0,97.67,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,73,116.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.5,107,0,0,0,0,0,0,101.09,0,0,0,0,52.33,0,0,0,0,0,0,0,65.67,0,146.5,0,0,0,0,0,0,0,0,0,0,75.33,90,0,0,0,0,0,0,81,0,71,0,0,0,0,0,0,100.89,0,0,0,0,0,78.56,0,0,56.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.67,49,0,0,36,0,0,43,0,0,0,0,82.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.8,26.67,0,0,0,0,74.5,98,0,0,0,58,0,0,0,0,0,0,0,0,194.5,0,0,0,0,0,0,0,0,0,0,0,54.33,0,177
01/JUL/23 02:00:00.000000000 AM,0,0,0,0,0,0,0,20.25,344,67.33,0,0,0,60.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.83,0,0,0,0,0,0,0,0,0,0,0,0,0,77.33,0,0,0,0,150.8,109.88,0,0,0,0,0,0,104.13,0,0,0,0,52.4,0,0,0,0,48,0,0,0,0,139.67,0,0,0,0,0,0,0,0,0,0,91.17,0,0,0,0,0,0,99,0,0,45.75,0,0,0,0,0,0,107.22,272.67,0,0,0,0,75.88,0,0,51.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.17,46.5,0,0,57,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,89.33,0,0,0,0,0,0,0,0,0,0,0,0,0,52.6,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/JUL/23 02:15:00.000000000 AM,0,0,0,0,0,0,0,21.2,351.25,0,0,0,0,62.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,52,0,0,0,0,0,0,0,22.5,62.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.67,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.67,0,0,0,0,0,0,0,0,71.71,0,0,0,0,0,0,102,231.67,0,0,0,0,79.6,0,0,55.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.67,46,0,0,0,0,0,44.45,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,96.33,0,0,0,0,0,59.63,94.67,0,0,0,0,0,0,0,88.67,0,0,0,0,0,0,0,87.75,74.33,208.25,0
